Stt,Tỉnh mới,Gộp từ các tỉnh cũ,Phường/xã mới,Sát nhập từ các Phường/xã trước
189,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Văn Môn,"Xã Yên Phụ, Xã Đông Thọ, Xã Văn Môn"
190,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Vân Hà,"Phường Ninh Sơn, Phường Quảng Minh, Xã Tiên Sơn, Xã Trung Sơn, Xã
Vân Hà"
191,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Vân Sơn,"Xã Hữu Sản, Xã Vân Sơn"
192,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Việt Yên,"Phường Bích Động, Phường Hồng Thái, Xã Minh Đức, Xã Nghĩa Trung"
193,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Võ Cường,"Phường Đại Phúc, Phường Phong Khê, Phường Võ Cường"
194,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Vũ Ninh,"Phường Kim Chân, Phường Đáp Cầu, Phường Thị Cầu, Phường Vũ Ninh"
195,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Xuân Cẩm,"Thị trấn Bắc Lý, Xã Hương Lâm, Xã Mai Đình, Xã Châu Minh, Xã Xuân
Cẩm"
196,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Xuân Lương,"Xã Đồng Tiến (huyện Yên Thế), Xã Canh Nậu, Xã Xuân Lương"
197,Bắc Ninh,"Bắc Ninh, Bắc Giang",Phường Yên Dũng,"Phường Tân Liễu, Phường Nham Biền, Xã Yên Lư"
198,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Yên Định,"Xã Cẩm Đàn, Xã Yên Định"
199,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Yên Phong,"Thị trấn Chờ, Xã Trung Nghĩa, Xã Long Châu, Xã Đông Tiến"
200,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Yên Thế,"Thị trấn Phồn Xương, Xã Đồng Lạc, Xã Đồng Tâm, Xã Tân Hiệp, Xã Tân Sỏi"
201,Bắc Ninh,"Bắc Ninh, Bắc Giang",Xã Yên Trung,"Xã Dũng Liệt, Xã Yên Trung"
202,Cao Bằng,Cao Bằng,Xã Bạch Đằng,"Xã Thịnh Vượng, Xã Bình Dương, Xã Bạch Đằng"
203,Cao Bằng,Cao Bằng,Xã Bảo Lạc,"Thị trấn Bảo Lạc, Xã Bảo Toàn, Xã Hồng Trị"
204,Cao Bằng,Cao Bằng,Xã Bảo Lâm,"Thị trấn Pác Miầu, Xã Mông Ân, Xã Vĩnh Phong"
205,Cao Bằng,Cao Bằng,Xã Bế Văn Đàn,"Xã Hồng Quang, Xã Cách Linh, Xã Bế Văn Đàn"
206,Cao Bằng,Cao Bằng,Xã Ca Thành,"Xã Yên Lạc, Xã Ca Thành"
207,Cao Bằng,Cao Bằng,Xã Canh Tân,"Xã Đức Thông, Xã Canh Tân"
208,Cao Bằng,Cao Bằng,Xã Cần Yên,"Xã Cần Nông, Xã Lương Thông, Xã Cần Yên"
209,Cao Bằng,Cao Bằng,Xã Cô Ba,"Xã Thượng Hà, Xã Cô Ba"
210,Cao Bằng,Cao Bằng,Xã Cốc Pàng,"Xã Đức Hạnh, Xã Cốc Pàng"
211,Cao Bằng,Cao Bằng,Xã Đàm Thủy,"Xã Chí Viễn, Xã Phong Châu, Xã Đàm Thủy"
212,Cao Bằng,Cao Bằng,Xã Đình Phong,"Xã Ngọc Côn, Xã Ngọc Khê, Xã Phong Nặm, Xã Đình Phong"
213,Cao Bằng,Cao Bằng,Xã Đoài Dương,"Xã Trung Phúc, Xã Cao Thăng, Xã Đoài Dương"
214,Cao Bằng,Cao Bằng,Xã Độc Lập,"Xã Quảng Hưng, Xã Cai Bộ, Xã Độc Lập"
215,Cao Bằng,Cao Bằng,Xã Đông Khê,"Thị trấn Đông Khê, Xã Đức Xuân, Xã Trọng Con"
216,Cao Bằng,Cao Bằng,Xã Đức Long,"Xã Đức Long (huyện Thạch An), Xã Thụy Hùng, Xã Lê Lợi"
217,Cao Bằng,Cao Bằng,Xã Hạ Lang,"Thị trấn Thanh Nhật, Xã Thống Nhất, Xã Thị Hoa"
218,Cao Bằng,Cao Bằng,Xã Hà Quảng,"Xã Hồng Sỹ, Xã Ngọc Đào, Xã Mã Ba"
219,Cao Bằng,Cao Bằng,Xã Hạnh Phúc,"Xã Ngọc Động (huyện Quảng Hòa), Xã Tự Do, Xã Hạnh Phúc"
220,Cao Bằng,Cao Bằng,Xã Hòa An,"Thị trấn Nước Hai, Xã Đại Tiến, Xã Hồng Việt"
221,Cao Bằng,Cao Bằng,Xã Huy Giáp,"Xã Đình Phùng, Xã Huy Giáp"
222,Cao Bằng,Cao Bằng,Xã Hưng Đạo,"Xã Hưng Thịnh, Xã Kim Cúc, Xã Hưng Đạo (huyện Bảo Lạc)"
223,Cao Bằng,Cao Bằng,Xã Khánh Xuân,"Xã Phan Thanh (huyện Bảo Lạc), Xã Khánh Xuân"
224,Cao Bằng,Cao Bằng,Xã Kim Đồng,"Xã Hồng Nam, Xã Thái Cường, Xã Kim Đồng"
225,Cao Bằng,Cao Bằng,Xã Lũng Nặm,"Xã Thượng Thôn, Xã Lũng Nặm"
226,Cao Bằng,Cao Bằng,Xã Lý Bôn,"Xã Vĩnh Quang (huyện Bảo Lâm), Xã Lý Bôn"
227,Cao Bằng,Cao Bằng,Xã Lý Quốc,"Xã Minh Long, Xã Đồng Loan, Xã Lý Quốc"
228,Cao Bằng,Cao Bằng,Xã Minh Khai,"Xã Quang Trọng, Xã Minh Khai"
229,Cao Bằng,Cao Bằng,Xã Minh Tâm,"Xã Trương Lương, Xã Minh Tâm"
230,Cao Bằng,Cao Bằng,Xã Nam Quang,"Xã Nam Cao, Xã Nam Quang"
231,Cao Bằng,Cao Bằng,Xã Nam Tuấn,"Xã Đức Long (huyện Hòa An), Xã Dân Chủ, Xã Nam Tuấn"
232,Cao Bằng,Cao Bằng,Xã Nguyên Bình,"Thị trấn Nguyên Bình, Xã Thể Dục, Xã Vũ Minh"
233,Cao Bằng,Cao Bằng,Xã Nguyễn Huệ,"Xã Quang Trung (huyện Hòa An), Xã Ngũ Lão, Xã Nguyễn Huệ"
234,Cao Bằng,Cao Bằng,Phường Nùng Trí Cao,"Phường Ngọc Xuân, Phường Sông Bằng, Xã Vĩnh Quang (thành phố Cao
Bằng)"
235,Cao Bằng,Cao Bằng,Xã Phan Thanh,"Xã Phan Thanh (huyện Nguyên Bình), Xã Mai Long"
236,Cao Bằng,Cao Bằng,Xã Phục Hòa,"Thị trấn Tà Lùng, Thị trấn Hòa Thuận, Xã Mỹ Hưng, Xã Đại Sơn"
237,Cao Bằng,Cao Bằng,Xã Quang Hán,"Xã Quang Vinh, Xã Quang Hán"
238,Cao Bằng,Cao Bằng,Xã Quảng Lâm,"Xã Thạch Lâm, Xã Quảng Lâm"
239,Cao Bằng,Cao Bằng,Xã Quang Long,"Xã Đức Quang, Xã Thắng Lợi, Xã Quang Long"
240,Cao Bằng,Cao Bằng,Xã Quang Trung,"Xã Quang Trung (huyện Trùng Khánh), Xã Tri Phương, Xã Xuân Nội"
241,Cao Bằng,Cao Bằng,Xã Quảng Uyên,"Thị trấn Quảng Uyên, Xã Phi Hải, Xã Phúc Sen, Xã Chí Thảo"
242,Cao Bằng,Cao Bằng,Xã Sơn Lộ,"Xã Sơn Lập, Xã Sơn Lộ"
243,Cao Bằng,Cao Bằng,Xã Tam Kim,"Xã Hưng Đạo (huyện Nguyên Bình), Xã Hoa Thám, Xã Tam Kim"
244,Cao Bằng,Cao Bằng,Xã Tân Giang,"Phường Tân Giang, Phường Duyệt Trung, Phường Hòa Chung, Xã Chu
Trinh, Xã Lê Chung"
245,Cao Bằng,Cao Bằng,Xã Thạch An,"Xã Tiên Thành, Xã Vân Trình, Xã Lê Lai"
246,Cao Bằng,Cao Bằng,Xã Thành Công,"Xã Quang Thành, Xã Thành Công"
247,Cao Bằng,Cao Bằng,Xã Thanh Long,"Xã Ngọc Động (huyện Hà Quảng), Xã Yên Sơn, Xã Thanh Long"
248,Cao Bằng,Cao Bằng,Xã Thông Nông,"Thị trấn Thông Nông, Xã Đa Thông, Xã Lương Can"
249,Cao Bằng,Cao Bằng,Xã Thục Phán,"Phường Sông Hiến, Phường Đề Thám, Phường Hợp Giang, Xã Hưng Đạo (thành phố Cao Bằng), Xã Hoàng Tung"
250,Cao Bằng,Cao Bằng,Xã Tĩnh Túc,"Thị trấn Tĩnh Túc, Xã Triệu Nguyên, Xã Vũ Nông"
251,Cao Bằng,Cao Bằng,Xã Tổng Cọt,"Xã Nội Thôn, Xã Cải Viên, Xã Tổng Cọt"
252,Cao Bằng,Cao Bằng,Xã Trà Lĩnh,"Thị trấn Trà Lĩnh, Xã Cao Chương, Xã Quốc Toản"
253,Cao Bằng,Cao Bằng,Xã Trùng Khánh,"Thị trấn Trùng Khánh, Xã Đức Hồng, Xã Lăng Hiếu, Xã Khâm Thành"
254,Cao Bằng,Cao Bằng,Xã Trường Hà,"Thị trấn Xuân Hòa, Xã Quý Quân, Xã Sóc Hà, Xã Trường Hà"
255,Cao Bằng,Cao Bằng,Xã Vinh Quý,"Xã Cô Ngân, Xã An Lạc, Xã Kim Loan, Xã Vinh Quý"
256,Cao Bằng,Cao Bằng,Xã Xuân Trường,"Xã Hồng An, Xã Xuân Trường"
257,Cao Bằng,Cao Bằng,Xã Yên Thổ,"Xã Thái Học, Xã Thái Sơn, Xã Yên Thổ"
258,Cà Mau,"Bạc Liêu, Cà Mau",Xã An Trạch,"Xã An Trạch A, Xã An Trạch"
259,Cà Mau,"Bạc Liêu, Cà Mau",Phường An Xuyên,"Phường 1 (thành phố Cà Mau), Phường 2 (thành phố Cà Mau), Phường 9,
Phường Tân Xuyên, Xã An Xuyên"
260,Cà Mau,"Bạc Liêu, Cà Mau",Phường Bạc Liêu,"Phường 1 (thành phố Bạc Liêu), Phường 2 (thành phố Bạc Liêu), Phường 7 (thành phố Bạc Liêu), Phường 8 (thành phố Bạc Liêu), Phường 3"
261,Cà Mau,"Bạc Liêu, Cà Mau",Xã Biển Bạch,"Xã Tân Bằng, Xã Biển Bạch Đông, Xã Biển Bạch"
262,Cà Mau,"Bạc Liêu, Cà Mau",Phường Cái Đôi Vàm,"Thị trấn Cái Đôi Vàm, Xã Nguyễn Việt Khái"
263,Cà Mau,"Bạc Liêu, Cà Mau",Xã Cái Nước,"Thị trấn Cái Nước, Xã Trần Thới, Xã Đông Hưng (phần còn lại), Xã Đông
Thới (phần còn lại), Xã Tân Hưng Đông (phần còn lại)"
264,Cà Mau,"Bạc Liêu, Cà Mau",Xã Châu Thới,"Xã Vĩnh Hưng, Xã Vĩnh Hưng A, Xã Châu Thới"
265,Cà Mau,"Bạc Liêu, Cà Mau",Xã Đá Bạc,"Xã Khánh Bình Tây (bao gồm Hòn Đá Bạc), Xã Khánh Bình Tây Bắc, Xã
Trần Hợi (một phần)"
266,Cà Mau,"Bạc Liêu, Cà Mau",Xã Đầm Dơi,"Thị trấn Đầm Dơi, Xã Tân Duyệt, Xã Tân Dân, Xã Tạ An Khương (phần còn
lại sau khi sáp nhập vào xã Tạ An Khương mới)"
267,Cà Mau,"Bạc Liêu, Cà Mau",Xã Đất Mới,"Xã Lâm Hải, Xã Đất Mới, Thị trấn Năm Căn, Xã Hàm Rồng, Xã Viên An
(phần còn lại sau khi sáp nhập vào xã Đất Mũi)"
268,Cà Mau,"Bạc Liêu, Cà Mau",Xã Đất Mũi,"Xã Đất Mũi, Xã Viên An, Xã Tân Ân (phần còn lại sau khi sáp nhập vào xã
Phan Ngọc Hiển)"
269,Cà Mau,"Bạc Liêu, Cà Mau",Xã Định Thành,"Xã An Phúc, Xã Định Thành A, Xã Định Thành"
270,Cà Mau,"Bạc Liêu, Cà Mau",Xã Đông Hải,"Xã Long Điền Đông, Xã Long Điền Đông A"
271,Cà Mau,"Bạc Liêu, Cà Mau",Phường Gành Hào,"Thị trấn Gành Hào, Xã Long Điền Tây"
272,Cà Mau,"Bạc Liêu, Cà Mau",Xã Giá Rai,"Phường 1 (thị xã Giá Rai), Phường Hộ Phòng, Xã Phong Thạnh, Xã Phong
Thạnh A"
273,Cà Mau,"Bạc Liêu, Cà Mau",Xã Hiệp Thành,"Phường Nhà Mát, Xã Vĩnh Trạch Đông, Xã Hiệp Thành"
274,Cà Mau,"Bạc Liêu, Cà Mau",Xã Hoà Bình,"Thị trấn Hòa Bình, Xã Vĩnh Mỹ A, Xã Long Thạnh"
275,Cà Mau,"Bạc Liêu, Cà Mau",Xã Hoà Thành,"Xã Hòa Tân, Xã Hòa Thành, Phường 7 (thành phố Cà Mau) (phần còn lại sau khi sáp nhập vào phường Tân Thành), Phường 6 (phần còn lại sau khi sáp nhập vào phường Tân Thành), Xã Định Bình (phần còn lại sau khi sáp nhập vào phường Tân Thành), Xã Tắc Vân (phần còn lại sau khi sáp nhập
vào phường Tân Thành)"
276,Cà Mau,"Bạc Liêu, Cà Mau",Phường Hồ Thị Kỷ,Hồ Thị Kỷ
277,Cà Mau,"Bạc Liêu, Cà Mau",Xã Hồng Dân,"Thị trấn Ngan Dừa, Xã Lộc Ninh, Xã Ninh Hòa"
278,Cà Mau,"Bạc Liêu, Cà Mau",Xã Hưng Hội,"Xã Hưng Thành, Xã Hưng Hội"
279,Cà Mau,"Bạc Liêu, Cà Mau",Xã Hưng Mỹ,"Xã Hưng Mỹ, Xã Tân Hưng Đông, Xã Hòa Mỹ (phần còn lại sau khi sáp
nhập vào xã Phú Mỹ, xã Tân Hưng)"
280,Cà Mau,"Bạc Liêu, Cà Mau",Xã Khánh An,"Xã Khánh An, Xã Nguyễn Phích (phần còn lại sau khi sáp nhập vào xã
Nguyễn Phích, xã Khánh Lâm)"
281,Cà Mau,"Bạc Liêu, Cà Mau",Xã Khánh Bình,"Xã Khánh Bình Đông, Xã Khánh Bình"
282,Cà Mau,"Bạc Liêu, Cà Mau",Xã Khánh Hưng,"Xã Khánh Hải, Xã Khánh Hưng"
283,Cà Mau,"Bạc Liêu, Cà Mau",Xã Khánh Lâm,"Xã Khánh Hội, Xã Nguyễn Phích, Xã Khánh Lâm (phần còn lại sau khi sáp
nhập vào xã U Minh)"
284,Cà Mau,"Bạc Liêu, Cà Mau",Xã Láng Tròn,"Phường Láng Tròn, Xã Phong Tân, Xã Phong Thạnh Đông"
285,Cà Mau,"Bạc Liêu, Cà Mau",Xã Long Điền,"Xã Điền Hải, Xã Long Điền"
286,Cà Mau,"Bạc Liêu, Cà Mau",Xã Lương Thế Trân,"Xã Thạnh Phú, Xã Phú Hưng, Xã Lương Thế Trân, Xã Lợi An"
287,Cà Mau,"Bạc Liêu, Cà Mau",Xã Lý Văn Lâm,"Phường 8 (thành phố Cà Mau), Xã Lý Văn Lâm, Xã Lợi An (phần còn lại sau
khi sáp nhập vào xã Trần Văn Thời, xã Lương Thế Trân)"
288,Cà Mau,"Bạc Liêu, Cà Mau",Xã Năm Căn,"Xã Hàng Vịnh, Thị trấn Năm Căn (phần còn lại), Xã Hàm Rồng (phần còn
lại)"
289,Cà Mau,"Bạc Liêu, Cà Mau",Xã Nguyễn Phích,"Thị trấn U Minh, Xã Nguyễn Phích, Xã Khánh Thuận (phần còn lại sau khi
sáp nhập vào xã U Minh)"
290,Cà Mau,"Bạc Liêu, Cà Mau",Xã Nguyễn Việt Khái,"Xã Tân Hưng Tây, Xã Rạch Chèo, Xã Việt Thắng"
291,Cà Mau,"Bạc Liêu, Cà Mau",Xã Ninh Quới,"Xã Ninh Quới A, Xã Ninh Quới"
292,Cà Mau,"Bạc Liêu, Cà Mau",Xã Ninh Thạnh Lợi,"Xã Ninh Thạnh Lợi A, Xã Ninh Thạnh Lợi"
293,Cà Mau,"Bạc Liêu, Cà Mau",Xã Phan Ngọc Hiển,"Thị trấn Rạch Gốc, Xã Viên An Đông, Xã Tân Ân"
294,Cà Mau,"Bạc Liêu, Cà Mau",Xã Phong Hiệp,"Xã Phong Thạnh Tây A, Xã Phong Thạnh Tây B"
295,Cà Mau,"Bạc Liêu, Cà Mau",Xã Phong Thạnh,"Xã Tân Thạnh, Xã Phong Thạnh Tây, Xã Tân Phong"
296,Cà Mau,"Bạc Liêu, Cà Mau",Xã Phú Mỹ,"Xã Phú Thuận, Xã Phú Mỹ, Xã Hòa Mỹ"
297,Cà Mau,"Bạc Liêu, Cà Mau",Xã Phú Tân,"Xã Tân Hải, Xã Phú Tân"
298,Cà Mau,"Bạc Liêu, Cà Mau",Phường Phước Long,"Thị trấn Phước Long, Xã Vĩnh Phú Đông"
299,Cà Mau,"Bạc Liêu, Cà Mau",Xã Quách Phẩm,"Xã Quách Phẩm Bắc, Xã Quách Phẩm"
300,Cà Mau,"Bạc Liêu, Cà Mau",Phường Sông Đốc,"Thị trấn Sông Đốc (bao gồm cụm đảo Hòn Chuối), Xã Phong Điền"
301,Cà Mau,"Bạc Liêu, Cà Mau",Xã Tạ An Khương,"Xã Tạ An Khương Đông, Xã Tạ An Khương Nam, Xã Tạ An Khương"
302,Cà Mau,"Bạc Liêu, Cà Mau",Xã Tam Giang,"Xã Hiệp Tùng, Xã Tam Giang Đông, Xã Tam Giang"
303,Cà Mau,"Bạc Liêu, Cà Mau",Xã Tân Ân,"Xã Tam Giang Tây, Xã Tân Ân Tây"
304,Cà Mau,"Bạc Liêu, Cà Mau",Xã Tân Hưng,"Xã Tân Hưng, Xã Đông Hưng, Xã Đông Thới, Xã Hòa Mỹ"
305,Cà Mau,"Bạc Liêu, Cà Mau",Xã Tân Lộc,"Xã Tân Lộc Bắc, Xã Tân Lộc Đông, Xã Tân Lộc"
306,Cà Mau,"Bạc Liêu, Cà Mau",Xã Tân Thành,"Phường 5 (thành phố Cà Mau), Phường Tân Thành, Xã Tân Thành, Phường
7 (thành phố Cà Mau), Phường 6, Xã Định Bình, Xã Tắc Vân"
307,Cà Mau,"Bạc Liêu, Cà Mau",Xã Tân Thuận,"Xã Tân Đức, Xã Tân Thuận"
308,Cà Mau,"Bạc Liêu, Cà Mau",Xã Tân Tiến,"Xã Nguyễn Huân, Xã Tân Tiến"
309,Cà Mau,"Bạc Liêu, Cà Mau",Xã Thanh Tùng,"Xã Ngọc Chánh, Xã Thanh Tùng"
310,Cà Mau,"Bạc Liêu, Cà Mau",Phường Thới Bình,"Thị trấn Thới Bình, Xã Thới Bình"
311,Cà Mau,"Bạc Liêu, Cà Mau",Xã Trần Phán,"Xã Tân Trung, Xã Trần Phán"
312,Cà Mau,"Bạc Liêu, Cà Mau",Xã Trần Văn Thời,"Thị trấn Trần Văn Thời, Xã Khánh Lộc, Xã Phong Lạc, Xã Lợi An, Xã Trần Hợi (phần còn lại sau khi sáp nhập vào xã Đá Bạc), Xã Phong Điền (phần
còn lại sau khi sáp nhập vào xã Sông Đốc)"
313,Cà Mau,"Bạc Liêu, Cà Mau",Xã Trí Phải,"Xã Trí Lực, Xã Tân Phú, Xã Trí Phải"
314,Cà Mau,"Bạc Liêu, Cà Mau",Xã U Minh,"Xã Khánh Tiến, Xã Khánh Hòa, Xã Khánh Thuận, Xã Khánh Lâm"
315,Cà Mau,"Bạc Liêu, Cà Mau",Xã Vĩnh Hậu,"Xã Vĩnh Thịnh, Xã Vĩnh Hậu A, Xã Vĩnh Hậu"
316,Cà Mau,"Bạc Liêu, Cà Mau",Xã Vĩnh Lộc,"Xã Vĩnh Lộc A, Xã Vĩnh Lộc"
317,Cà Mau,"Bạc Liêu, Cà Mau",Phường Vĩnh Lợi,"Thị trấn Châu Hưng, Xã Châu Hưng A"
318,Cà Mau,"Bạc Liêu, Cà Mau",Xã Vĩnh Mỹ,"Xã Minh Diệu, Xã Vĩnh Bình, Xã Vĩnh Mỹ B"
319,Cà Mau,"Bạc Liêu, Cà Mau",Xã Vĩnh Phước,"Xã Phước Long, Xã Vĩnh Phú Tây"
320,Cà Mau,"Bạc Liêu, Cà Mau",Xã Vĩnh Thanh,"Xã Hưng Phú, Xã Vĩnh Thanh"
321,Cà Mau,"Bạc Liêu, Cà Mau",Phường Vĩnh Trạch,"Phường 5 (thành phố Bạc Liêu), Xã Vĩnh Trạch"
322,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Phường An Bình,"Phường An Bình, Xã Mỹ Khánh, Phường Long Tuyền"
323,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã An Lạc Thôn,"Thị trấn An Lạc Thôn, Xã Xuân Hòa, Xã Trinh Phú"
324,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã An Ninh,"Xã An Hiệp, Xã An Ninh"
325,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã An Thạnh,"Thị trấn Cù Lao Dung, Xã An Thạnh 1, Xã An Thạnh Tây, Xã An Thạnh
Đông"
326,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Phường Bình Thủy,"Phường An Thới, Phường Bình Thủy, Phường Bùi Hữu Nghĩa (phần còn lại
sau khi sáp nhập vào phường Cái Khế)"
327,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Phường Cái Khế,"Phường An Hòa, Phường Cái Khế, Phường Bùi Hữu Nghĩa"
328,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Phường Cái Răng,"Phường Lê Bình, Phường Thường Thạnh, Phường Ba Láng, Phường Hưng
Thạnh"
329,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Phường Châu Thành,"Thị trấn Mái Dầm, Thị trấn Ngã Sáu, Xã Đông Phú"
330,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Cờ Đỏ,"Thị trấn Cờ Đỏ, Xã Thới Đông, Xã Thới Xuân"
331,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Cù Lao Dung,"Xã An Thạnh 2, Xã Đại Ân 1, Xã An Thạnh 3, Xã An Thạnh Nam"
332,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Đại Hải,"Xã Ba Trinh, Xã Đại Hải"
333,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Phường Đại Ngãi,"Thị trấn Đại Ngãi, Xã Long Đức"
334,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Đại Thành,"Phường Hiệp Lợi, Xã Tân Thành, Xã Đại Thành"
335,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Đông Hiệp,"Xã Đông Thắng, Xã Xuân Thắng, Xã Đông Hiệp"
336,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Đông Phước,"Thị trấn Cái Tắc, Xã Đông Thạnh, Xã Đông Phước A"
337,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Đông Thuận,"Xã Đông Bình, Xã Đông Thuận"
338,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Gia Hòa,"Xã Thạnh Quới, Xã Gia Hòa 2"
339,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Phường Hiệp Hưng,"Thị trấn Cây Dương, Xã Hiệp Hưng"
340,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Phường Hòa An,"Thị trấn Kinh Cùng, Xã Hòa An"
341,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Hỏa Lựu,"Xã Tân Tiến, Xã Hỏa Tiến, Xã Hỏa Lựu"
342,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Hòa Tú,"Xã Hòa Tú 1, Xã Hòa Tú 2"
343,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Hồ Đắc Kiện,"Xã Thiện Mỹ, Xã Hồ Đắc Kiện"
344,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Phường Hưng Phú,"Phường Tân Phú, Phường Phú Thứ, Phường Hưng Phú"
345,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Kế Sách,"Thị trấn Kế Sách, Xã Kế An, Xã Kế Thành"
346,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Khánh Hòa,"Phường Khánh Hòa, Xã Vĩnh Hiệp, Xã Hòa Đông"
347,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Phường Lai Hòa,Lai Hòa
348,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Lâm Tân,"Xã Tuân Tức, Xã Lâm Kiết, Xã Lâm Tân"
349,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Phường Lịch Hội Thượng,"Thị trấn Lịch Hội Thượng, Xã Lịch Hội Thượng"
350,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Liêu Tú,"Xã Viên Bình, Xã Liêu Tú"
351,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Phường Long Bình,"Phường Bình Thạnh, Phường Vĩnh Tường, Xã Long Bình"
352,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Long Hưng,"Xã Hưng Phú, Xã Long Hưng"
353,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Long Mỹ,"Phường Thuận An (thị xã Long Mỹ), Xã Long Trị, Xã Long Trị A"
354,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Phường Long Phú,"Thị trấn Long Phú, Xã Long Phú"
355,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Long Phú 1,"Phường Trà Lồng, Xã Tân Phú, Xã Long Phú"
356,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Phường Long Tuyền,"Phường Long Hòa, Phường Long Tuyền (phần còn lại sau khi sáp nhập vào phường An Bình)"
357,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Lương Tâm,"Xã Lương Nghĩa, Xã Lương Tâm"
358,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Mỹ Hương,"Xã Thuận Hưng, Xã Phú Mỹ, Xã Mỹ Hương"
359,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Phường Mỹ Phước,Mỹ Phước
360,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Mỹ Quới,"Phường 3 (thị xã Ngã Năm), Xã Mỹ Bình, Xã Mỹ Quới"
361,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Mỹ Tú,"Thị trấn Huỳnh Hữu Nghĩa, Xã Mỹ Thuận, Xã Mỹ Tú"
362,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Phường Mỹ Xuyên,"Phường 10, Thị trấn Mỹ Xuyên, Xã Đại Tâm"
363,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Phường Ngã Bảy,"Phường Lái Hiếu, Phường Hiệp Thành, Phường Ngã Bảy"
364,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Phường Ngã Năm,"Phường 1 (thị xã Ngã Năm), Phường 2 (thị xã Ngã Năm), Xã Vĩnh Quới"
365,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Ngọc Tố,"Xã Tham Đôn, Xã Ngọc Đông, Xã Ngọc Tố"
366,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Nhơn Ái,"Xã Nhơn Nghĩa, Xã Nhơn Ái"
367,Cần Thơ,"Cần Thơ, Sóc Trăng, Hậu Giang",Xã Nhơn Mỹ,"Xã An Mỹ, Xã Song Phụng, Xã Nhơn Mỹ"
